"Library" "City" "State" "Relationship" "Operated" "Area" "Population" "Visits" "Hours" "Libraries" "Branches" "Bookmobiles" "Books" "Audio" "Video" "Subscriptions" "Circulation" "Loans Provided" "Loans Received" "ALA Librarians" "FT Librarians" "Other Full Time" "Total Full Time" "Children Circulation" "Children Attendance" "Income-local" "Income-state" "Income-federal" "Income-other" "Income-total" "Salaries" "Benefits" "Expenditures-staff" "Expenditures-collection" "Expenditures-operating-other" "Expenditures-operating-total" "Expenditures-capital" "Expenditures-electronic materials" "Expenditures-electronic access" "Materials electronic format" "Access to electronic services" "Access to the internet" "Staff terminals" "Public Terminals" "Weekly Elect Resources"
"Abbeville Memorial Library" "Abbeville" "Alabama" " Not a member of a library system." "Municipal government" "City" 2987 15125 2192 1 0 0 29630 914 330 21 34891 43 18 0 1 2 3 8697 124 70260 8254 1933 11042 91489 38508 11822 50330 26883 14793 92006 NA NA 2119 24 "Yes" "Yes" 2 3 35
"Adamsville Public Library" "Adamsville" "Alabama" " Member library of a library system." "Municipal government" "City" 4965 3800 2232 1 0 0 12115 20 248 20 16768 4 132 0 1 1 2 6744 1118 65537 4148 3596 2756 76037 NA NA NA 13381 NA 76037 NA NA 2295 NA "Yes" "Yes" 2 3 68
"Akron Public Library" "Akron" "Alabama" " Not a member of a library system." "Municipal government" "City" 2497 500 832 1 0 0 3488 59 46 19 625 NA NA 0 1 0 1 285 NA 2184 2437 NA NA 4621 NA NA NA 568 NA 4627 NA NA 350 NA "Yes" "Yes" 1 1 8
"Albert L. Scott Library" "Alabaster" "Alabama" " Member library of a library system." "Municipal government" "City" 22619 61471 3185 1 0 0 42096 1704 1244 119 112846 18 293 3 4 5.85 9.85 46646 4050 492209 19463 NA NA 511672 273810 54332 328142 80427 103103 511672 NA NA NA NA "Yes" "Yes" 6 5 85
"Albertville Public Library" "Albertville" "Alabama" " Member library of a library system." "Municipal government" "City" 17247 53481 2406 1 0 0 82463 1560 1464 137 84440 3 8 0 1 5 6 25764 1182 198988 17002 280 14445 230715 116611 38566 155177 41534 34836 231547 990 NA 3312 NA "Yes" "Yes" 5 4 45
"Aliceville Public Library" "Aliceville" "Alabama" " Member library of a library system." "Municipal government" "City" 2567 8854 1623 1 0 0 16424 451 482 46 14233 18 46 0 1.48 0.5 1.98 6642 840 34326 2629 150 20913 58018 NA NA NA 8329 NA 52143 NA NA NA 33 "Yes" "Yes" 2 3 23
"Andalusia Public Library" "Andalusia" "Alabama" " Member library of a library system." "Municipal government" "City" 8794 27721 2458 1 0 0 41658 718 671 78 55723 12 63 1 1 6 7 16939 2418 182647 11152 9128 NA 202927 109396 16013 125409 18660 47583 191652 29930 NA 13687 220 "Yes" "Yes" 6 11 103
"Anniston-Calhoun County Public Library" "Anniston" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "County" 99892 98446 5882 1 1 1 130751 1366 1119 206 189107 101 198 2 8 13 21 53290 5792 614445 87429 10000 84629 796503 465015 59084 524099 95856 147532 767487 9505 9060 3173 187 "Yes" "Yes" 26 43 1024
"Arab Public Library" "Arab" "Alabama" " Member library of a library system." "Municipal government" "City" 7174 18169 2142 1 0 0 43506 1279 1208 72 76384 15 59 1 1 4.5 5.5 37156 347 184528 7423 NA NA 191951 102640 17407 120047 37424 34480 191951 3000 NA NA 16 "Yes" "Yes" 4 6 74
"Dot Laney Memorial Library" "Ariton" "Alabama" " Member library of a library system." "Municipal government" "City" 772 1055 800 1 0 0 6456 50 122 NA 1068 NA 16 0 0.4 0 0.4 550 178 11000 781 NA 5813 17594 NA NA NA 781 NA 17594 NA NA 190 8 "Yes" "Yes" 1 1 3
