"Library Name" "Address" "City" "State" "Latitude" "Longitude"
"Aguilar Public Library" "146 W. Main Street, 81020" "Aguilar" "CO" -104.6576893 37.4009825
"Akron Public Library" "302 Main Ave, 80720" "Akron" "CO" -103.2127298 40.1613618
"Alamosa-Southern Peaks Public Library" "423 4th St, 81101" "Alamosa" "CO" -105.8624275 37.4692857
"Southern Peaks Public Library" "423 Fourth Street, " "Alamosa" "CO" -122.3993351 37.7805912
"Arvada Library" "7525 W. 57th Avenue, " "Arvada" "CO" -87.8097087 41.7880152
"Standley Lake Library" "8485 Kipling Street, " "Arvada" "CO" -105.1111614 39.8504515
"Pitkin County Library" "120 N Mill Street, 81611" "Aspen" "CO" -106.8185671 39.1912098
"Northern Plains Public Library" "216 2nd Street, " "Ault" "CO" -91.5692661 41.6701284
"Aurora Public Library" "14949 East Alameda Parkway, 80012" "Aurora" "CO" -104.8151612 39.7104005
"Chambers Plaza Library" "15057 Colfax Avenue, " "Aurora" "CO" -97.0596864 41.4596515
"Iliff Square Library" "2245 South Peoria Street, " "Aurora" "CO" -104.8471586 39.6759587
"Martin Luther King Jr. Branch Library" "9901 East 16th Avenue, " "Aurora" "CO" -104.8728579 39.7420593
"Moorhead Branch" "2390 Havana Street, " "Aurora" "CO" -104.865466 39.752002
"South Branch Library" "15324 East Hampden Circle, " "Aurora" "CO" -104.8092771 39.6505925
"Avon Branch Library" "0200 Benchmark Rd, " "Avon" "CO" -72.0917197 44.8775391
"Park County Public Library" "350 Bulldogger Road, " "Bailey" "CO" -105.4526999 39.440783
"Basalt Regional Library District" "14 Midland Avenue, 81621" "Basalt" "CO" -107.0378357 39.366557
"Pine River Public Library District-Bayfield" "395 Center Drive, 81122" "Bayfield" "CO" -87.70483 44.5452517
"Bennett Branch Library" "495 7th Street, " "Bennett" "CO" -122.4048027 37.7743348
"Berthoud Community Library District" "236 Welch Ave, 80513" "Berthoud" "CO" -105.0770366 40.3044625
"Gilpin County Library District" "15131 Highway 119, 80422" "Black Hawk" "CO" -105.465374 39.8717375
"Boulder Public Library" "1001 Arapahoe Avenue, 80302" "Boulder" "CO" -105.281769 40.013952
"Carnegie Branch For Local History" "1125 Pine Street, " "Boulder" "CO" -122.3295236 47.6145517
"George Reynolds Branch" "3595 Table Mesa Drive, " "Boulder" "CO" -105.2526034 39.9844433
"Meadows Branch Library" "4800 Baseline Road, " "Boulder" "CO" -105.2343462 39.9985008
"South Branch Library" "504 Airport Road, " "Breckenridge" "CO" -85.1976749 35.0240498
"Brighton Branch Library" "575 South 8th Avenue, " "Brighton" "CO" -96.6628544 35.7424594
"Broomfield-Eisenhower Public Library" "3 Community Park Road, 80020" "Broomfield" "CO" -105.0689285 39.9176433
"Mamie Doud Eisenhower Public Library" "3 Community Park Road, " "Broomfield" "CO" -86.2869251 33.3211134
"East Morgan County Library District-Brush" "500 Clayton Street, 80723" "Brush" "CO" -103.6231866 40.2584001
"Northern Chaffee County Lib Dist-Buena Vista" "131 Linderman Avenue, 81211" "Buena Vista" "CO" -106.1333303 38.8413044
"Burlington Public Library" "321 14th Street, 80807" "Burlington" "CO" -102.2684104 39.3037375
"Kelver Library" "404 East Front Street, " "Byers" "CO" -85.6158854 44.7640986
"Canon City Public Library" "516 Macon Ave, 81212" "Canon City" "CO" -105.240614 38.4413277
"Garfield County Library - Gordon Cooper" "76 South 4th Street, " "Carbondale" "CO" -82.9958936 39.9610116
"Ute Pass Branch" "8010 Severy, " "Cascade" "CO" 4.930727 45.122162
"Douglas County Libraries" "100 South Wilcox, 80104" "Castle Rock" "CO" -104.8590461 39.3681268
"Philip S. Miller Library" "100 South Wilcox, " "Castle Rock" "CO" -82.9024783 29.5911429
"Cedaredge Public Library" "140 North East Second Street, " "Cedaredge" "CO" -96.2275264 32.1334223
"Castlewood Library" "6739 South Uinta Street, " "Centennial" "CO" -104.8940031 39.5946643
"Koelbel Library" "5955 South Holly Street, " "Centennial" "CO" -104.9236206 39.6089333
"Smoky Hill Public Library" "5430 South Biscay Circle, " "Centennial" "CO" -104.7675316 39.6180927
"Southglenn Library" "7500 South University Blvd, 101, " "Centennial" "CO" -104.9590255 39.5801327
"Center Public Library" "400 South Worth, " "Center" "CO" -86.3773954 39.9822538
"East Cheyenne County Library District" "151 S. 1st West, 80810" "Cheyenne Wells" "CO" -102.3506354 38.8204071
"Clifton Branch" "3225 I-70 Business Loop, A-1, " "Clifton" "CO" -104.9494229 39.7401817
