"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"62" "Marrowbone Public Library District" "Bethany" "216 West Main Street" 61914 "IL" -88.740166 39.6453016
"63" "Henderson County Public Library District" "Biggsville" "110 Hill Crest Drive" 61418 "IL" -90.8621242 40.8493643
"64" "Blandinsville-Hire Library District" "Blandinsville" "130 South Main Street" 61420 "IL" -90.8662575 40.5554331
"65" "Bloomingdale Public Library" "Bloomingdale" "101 Fairfield Way" 60108 "IL" -88.079309 41.948939
"66" "Bloomington Public Library" "Bloomington" "205 East Olive Street" 61701 "IL" -88.9921371 40.4768209
"67" "Blue Island Public Library" "Blue Island" "2433 York Street" 60406 "IL" -87.6814285 41.6568927
"68" "Blue Mound Memorial Library District" "Blue Mound" "213 North Saint Marie Street" 62513 "IL" -89.1226986 39.6975926
"69" "Bluffs Public Library" "Bluffs" "110 North Bluff Street" 62621 "IL" -90.5351831 39.7511136
"70" "Fountaindale Public Library District" "Bolingbrook" "300 West Briarcliff Road" 60440 "IL" -88.0793877 41.6988139
"71" "Bourbonnais Public Library District" "Bourbonnais" "250 West John Casey Road" 60914 "IL" -87.8793919 41.1652933
"72" "Bowen Branch" "Bowen" "116 Fifth St" NA "IL" -81.5856332 27.8995464
"73" "Bradford Public Library District" "Bradford" "111 South Peoria Street" 61421 "IL" -89.6578404 41.177042
"74" "Bradley Public Library District" "Bradley" "296 North Fulton Avenue" 60915 "IL" -87.8561338 41.1476874
"75" "Fossil Ridge Public Library District" "Braidwood" "386 West Kennedy Road" 60408 "IL" -88.223633 41.260535
"76" "Breese Public Library" "Breese" "530 North Third Street" 62230 "IL" -89.5283926 38.6098171
"77" "Bridgeview Public Library" "Bridgeview" "7840 West 79th Street" 60455 "IL" -87.8157305 41.7481857
"78" "Brighton Memorial Public Library" "Brighton" "110 North Main Street" 62012 "IL" -90.141558 39.0391467
"79" "Brimfield Public Library District" "Brimfield" "111 South Galena Street" 61517 "IL" -89.8846013 40.8385082
"80" "Brimfield Public Library District" "Brimfield" "111 S. Galena Street" NA "IL" -82.9090691 40.2634307
"81" "Broadview Public Library District" "Broadview" "2226 South 16th Avenue" 60155 "IL" -87.8521745 41.8632953
"82" "Brookfield Public Library" "Brookfield" "3609 Grand Boulevard" 60513 "IL" -87.8481842 41.8255934
"83" "South County Public Library District" "Brussels" "106 West Main Street" 62013 "IL" -90.5891188 38.9501456
"84" "Mason Memorial Public Library" "Buda" "104 West Main Street" 61314 "IL" -89.679419 41.3267538
"85" "Bunker Hill Public Library District" "Bunker Hill" "220 East Warren Street" 62014 "IL" -89.950176 39.042788
"86" "Prairie Trails Public Library District" "Burbank" "8449 South Moody Avenue" 60459 "IL" -87.7733901 41.7385385
"87" "Leepertown Township Public Library" "Bureau" "201 East Nebraska Street" 61315 "IL" -89.3656128 41.2878715
"88" "Bushnell Public Library District" "Bushnell" "455 North Dean Street" 61422 "IL" -90.5110443 40.5531484
"89" "Byron Public Library District" "Byron" "109 North Franklin Street" 61010 "IL" -89.2600442 42.1255265
"90" "Cahokia Public Library District" "Cahokia" "140 Cahokia Park Drive" 62206 "IL" -90.1708033 38.5562533
"91" "Cairo Public Library" "Cairo" "1609 Washington Avenue" 62914 "IL" -89.1733313 37.0033118
"92" "Calumet City Public Library" "Calumet City" "660 Manistee Avenue" 60409 "IL" -87.555676 41.616404
"93" "Calumet Park Public Library" "Calumet Park" "1500 West 127th Street" 60827 "IL" -87.65865 41.663213
"94" "Cambridge Public Library District" "Cambridge" "212 West Center Street" 61238 "IL" -90.195485 41.303192
"95" "Camp Point Public Library District" "Camp Point" "206 East State Street" 62320 "IL" -91.064054 40.042279
"96" "Canaryville Branch" "Canaryville" "642 W. 43rd Street" 60609 "IL" -87.6425921 41.8164759
"97" "Parlin-Ingersoll Public Library" "Canton" "205 West Chestnut Street" 61520 "IL" -90.0389211 40.5576046
"98" "Carbondale Public Library" "Carbondale" "405 West Main Street" NA "IL" -85.7567462 38.2566429
"99" "Carlinville Public Library" "Carlinville" "510 North Broad Street" 62626 "IL" -89.8825888 39.2858741
"100" "Carlock Public Library District" "Carlock" "202 East Washington Street" 61725 "IL" -89.1317877 40.5823309
"101" "White Oak Township Public Library District" "Carlock" "202 E. Washington" NA "IL" -77.01396 38.89584
"102" "Case-Halstead Public Library" "Carlyle" "571 Franklin Street" 62231 "IL" -89.364468 38.610487
"103" "Carmi Public Library" "Carmi" "103 Slocumb Street" 62821 "IL" -88.1648818 38.0870126
"104" "Carol Stream Public Library" "Carol Stream" "616 Hiawatha Drive" 60188 "IL" -88.1299368 41.9189478
"105" "Carrier Mills-Stonefort Public Library District" "Carrier Mills" "109 Oak Street" 62917 "IL" -88.6342756 37.6841217
"106" "Carrollton Public Library" "Carrollton" "509 South Main Street" 62016 "IL" -90.407767 39.3009497
"107" "Anne West Lindsey Carterville District Library And Nature Pa" "Carterville" "117 South Division Street" 62918 "IL" -89.0772038 37.7613611
"108" "Carterville Public Library" "Carterville" "117 S. Division Street" NA "IL" -97.4253559 35.8776048
"109" "Carthage Public Library District" "Carthage" "500 Wabash Avenue" 62321 "IL" -91.1362183 40.4123015
"110" "Cary Area Public Library District" "Cary" "1606 Three Oaks Road" 60013 "IL" -88.2307964 42.2209951
"111" "Casey Township Library" "Casey" "307 East Main Street" 62420 "IL" -87.9897412 39.3002628
"112" "Caseyville Public Library District" "Caseyville" "419 South Second Street" 62232 "IL" -90.0302193 38.636946
"113" "Catlin Public Library District" "Catlin" "101 Mapleleaf Drive" 61817 "IL" -87.7144592 40.0651965
"114" "Allen Mccarthy Branch Library" "Centralia" "1500 Case" NA "IL" -85.1557088 44.1024821
"115" "Centralia Regional Library District" "Centralia" "515 East Broadway Avenue" 62801 "IL" -89.129317 38.5260767
"116" "Centreville Public Library" "Centreville" "701 South 47th Street" 62207 "IL" -90.1235673 38.580587
"117" "Hope Welty Public Library District" "Cerro Gordo" "100 South Madison Street" 61818 "IL" -88.7304546 39.8905196
"118" "Chadwick Public Library District" "Chadwick" "110 Main Street" 61014 "IL" -89.8908639 42.013343
"119" "Champaign Public Library" "Champaign" "200 West Green Street" 61820 "IL" -88.2458594 40.110343
"120" "Douglass Branch Library" "Champaign" "504 E. Grove St." NA "IL" -87.976883 42.0773566
"121" "Three Rivers Public Library District" "Channahon" "25207 West Channon Drive" 60410 "IL" -88.2239297 41.4336936
"122" "Charleston Carnegie Public Library" "Charleston" "712 Sixth Street" 61920 "IL" -88.1759791 39.4933918
"123" "Chatham Area Public Library District" "Chatham" "600 East Spruce Street" 62629 "IL" -89.6974971 39.6718301
"124" "Chatsworth Township Library" "Chatsworth" "432 East Locust Street" 60921 "IL" -88.2915113 40.7537741
"125" "Chenoa Public Library District" "Chenoa" "211 South Division Street" 61726 "IL" -88.7185782 40.7438903
"126" "Cherry Valley Public Library District" "Cherry Valley" "755 East State Street" 61016 "IL" -88.9446952 42.2354884
"127" "Chester Public Library" "Chester" "733 State Street" 62233 "IL" -89.8264206 37.9060402
"128" "Albany Park Branch" "Chicago" "5150 N. Kimball Avenue" NA "IL" -87.7137735 41.9755882
"129" "Altgeld Branch" "Chicago" "950 E. 132nd Place" NA "IL" -87.596897 41.6553601
"130" "Archer Heights Branch" "Chicago" "5055 S. Archer Avenue" NA "IL" -87.7266461 41.8008734
"131" "Austin Branch" "Chicago" "5615 W. Race Avenue" NA "IL" -87.7658112 41.8890161
"132" "Austin-Irving Branch" "Chicago" "6100 W. Irving Park Road" NA "IL" -87.7797348 41.9532556
"133" "Avalon Branch" "Chicago" "8828 S. Stony Island" NA "IL" -87.585975 41.734138
"134" "Back Of The Yards Branch" "Chicago" "4650 S. Damen Avenue" NA "IL" -87.6746034 41.8089714
"135" "Bessie Coleman Branch" "Chicago" "731 E. 63rd Street" NA "IL" -94.5795276 39.0134485
"136" "Beverly Branch" "Chicago" "2121 W. 95th Street" NA "IL" -87.6722429 41.7213718
"137" "Bezazian Branch" "Chicago" "1226 W. Ainslie Street" NA "IL" -87.6607369 41.9716923
"138" "Blackstone Branch" "Chicago" "4904 S. Lake Park Avenue" NA "IL" -87.5903444 41.8058352
"139" "Brainerd Branch" "Chicago" "1350 W. 89th Street" NA "IL" -87.6576966 41.7325283
"140" "Brighton Park Branch" "Chicago" "4314 Archer Avenue" NA "IL" -88.0115655 41.6347838
"141" "Bucktown-Wicker Park Branch" "Chicago" "1701 N. Milwaukee Ave." NA "IL" -87.6802818 41.9124886
"142" "Budlong Woods Branch" "Chicago" "5630 N. Lincoln Avenue" NA "IL" -87.6963282 41.9833634
"143" "Chicago Bee Branch" "Chicago" "3647 S. State Street" 60609 "IL" -87.626081 41.8280706
"144" "Chicago Lawn Branch" "Chicago" "6120 S. Kedzie Avenue" 60629 "IL" -87.7035387 41.7818971
"145" "Chicago Public Library" "Chicago" "400 South State Street" 60605 "IL" -87.6282016 41.8763007
"146" "Chinatown Branch" "Chicago" "2353 S. Wentworth Avenue" NA "IL" -87.6317029 41.8494563
"147" "Clearing Branch" "Chicago" "6423 W. 63rd Place" NA "IL" -87.7822279 41.7764699
"148" "Douglass Branch" "Chicago" "3353 W. 13th Street" NA "IL" -98.381192 40.9315468
"149" "Dunning Branch" "Chicago" "7455 W. Cornelia Avenue" 60634 "IL" -87.8139236 41.9430671
"150" "Eckhart Park Branch" "Chicago" "1371 W. Chicago Avenue" NA "IL" -87.6621552 41.8959242
"151" "Edgebrook Branch" "Chicago" "5331 W. Devon Avenue" NA "IL" -87.7618969 41.9970863
"152" "Edgewater Branch" "Chicago" "1210 W. Elmdale Avenue" NA "IL" -87.6606882 41.9911199
"153" "Gage Park Branch" "Chicago" "2807 W. 55th Street" NA "IL" -87.6941787 41.7934351
"154" "Galewood-Mont Clare Branch" "Chicago" "6969 W. Grand Avenue" NA "IL" -87.9753463 42.3858051
"155" "Garfield Ridge Branch" "Chicago" "6348 Archer Avenue" NA "IL" -88.0114305 41.6348902
"156" "Greater Grand Crossing Branch" "Chicago" "1000 East 73rd Street" 60619 "IL" -87.6002895 41.7625563
"157" "Hall Branch" "Chicago" "4801 S. Michigan Avenue" NA "IL" -87.6223077 41.8071888
"158" "Harold Washington Library Center(Main Library)" "Chicago" "400 S. State Street" NA "IL" -111.887823 40.760899
"159" "Hegewisch Branch" "Chicago" "3048 E. 130th Street" NA "IL" -101.7992536 33.4762637
"160" "Humboldt Park" "Chicago" "1605 N. Troy Street" 60647 "IL" -87.7053461 41.9104659
"161" "Independence Branch" "Chicago" "3548 W. Irving Park Road" NA "IL" -87.7173437 41.9540433
"162" "Jefferson Park Branch" "Chicago" "5363 W. Lawrence Avenue" NA "IL" -87.7619861 41.9673551
"163" "Jeffery Manor Branch" "Chicago" "2401 East 100th Street" NA "IL" -87.5655129 41.7132223
"164" "John Merlo Branch" "Chicago" "644 W. Belmont Avenue" NA "IL" -119.8192432 36.750298
"165" "Kelly Branch" "Chicago" "6151 S. Normal Boulvard" NA "IL" -87.6373514 41.7823938
"166" "Legler Branch (Marshall Square)" "Chicago" "115 S. Pulaski Road" NA "IL" -87.7253028 41.8793121
"167" "Lincoln Belmont Branch" "Chicago" "1659 W. Melrose Avenue" NA "IL" -87.6707648 41.9403197
"168" "Lincoln Park Branch" "Chicago" "1150 W. Fullerton Avenue" NA "IL" -87.6581305 41.9255928
"169" "Little Village Branch" "Chicago" "2311 S. Kedzie" 60623 "IL" -87.7047968 41.8496377
"170" "Logan Square Branch" "Chicago" "3255 W. Altgeld Street" NA "IL" -87.7097748 41.9263366
"171" "Mabel Manning Branch" "Chicago" "6 S. Hoyne Avenue" NA "IL" -87.6795493 41.8810304
"172" "Martin Luther King, Jr. Branch" "Chicago" "3436 S. King Drive" NA "IL" -87.6177792 41.8318134
"173" "Mayfair Branch" "Chicago" "4400 W. Lawrence Avenue" NA "IL" -87.7381078 41.9683065
"174" "Mckinley Park Branch" "Chicago" "1915 W. 35th Street" NA "IL" -87.673591 41.8301512
"175" "Midwest Branch" "Chicago" "2335 W. Chicago Avenue" NA "IL" -87.685836 41.895472
"176" "Mount Greenwood Branch" "Chicago" "11010 S. Kedzie Avenue" NA "IL" -87.7012066 41.6930972
"177" "Near North Branch" "Chicago" "310 W. Division Street" NA "IL" -112.1877255 47.8093244
"178" "North Austin Branch" "Chicago" "5724 W. North Avenue" NA "IL" -87.7688315 41.9096407
"179" "North Pulaski Branch" "Chicago" "4300 W. North Avenue" NA "IL" -87.7338339 41.9101001
"180" "Northtown Branch" "Chicago" "6435 N. California" NA "IL" -87.6993858 41.9987663
"181" "Oriole Park Branch" "Chicago" "5201 N. Oketo Avenue" NA "IL" -87.8118691 41.9744364
"182" "Portage-Cragin Branch" "Chicago" "5108 W. Belmont Avenue" NA "IL" -119.8825345 36.7500577
"183" "Pullman Branch" "Chicago" "11001 S. Indiana Avenue" NA "IL" -87.3547615 41.3994575
"184" "Richard J. Daley Branch" "Chicago" "3400 S. Halsted Street" NA "IL" -87.63582 41.5302173
"185" "Roden Branch" "Chicago" "6083 Northwest Hwy. 60631" NA "IL" -87.7979695 41.9921166
"186" "Rogers Park Branch" "Chicago" "6907 N. Clark Street" NA "IL" -87.6731857 42.006985
"187" "Roosevelt Branch" "Chicago" "1101 W. Taylor Street" NA "IL" -76.3388458 39.6690671
"188" "Rudy Lozano Branch" "Chicago" "1805 S. Loomis Street" NA "IL" -87.6609496 41.8575941
"189" "Scottsdale Branch" "Chicago" "4101 W. 79th Street" NA "IL" -87.7245103 41.7491604
"190" "Sherman Park Branch" "Chicago" "5440 S. Racine Avenue" NA "IL" -88.1581984 42.9451838
"191" "South Chicago Branch" "Chicago" "9055 S. Houston Avenue" NA "IL" -87.5495373 41.730364
"192" "South Shore Branch" "Chicago" "2505 E. 73rd Street" NA "IL" -87.5636887 41.7624286
"193" "Sulzer Regional" "Chicago" "4455 N. Lincoln Avenue" NA "IL" -104.9858874 39.7774792
"194" "Thurgood Marshall Branch" "Chicago" "7506 S. Racine Avenue" NA "IL" -87.6543734 41.7573801
"195" "Toman Branch" "Chicago" "4005 W. 27th Street" NA "IL" -92.493498 42.513718
"196" "Tuley Park Branch" "Chicago" "501 E. 90th Place" NA "IL" -87.6111996 41.7301204
"197" "Uptown Branch" "Chicago" "929 W. Buena Avenue" NA "IL" -87.654193 41.95818
"198" "Vodak East Side Branch" "Chicago" "10542 S. Ewing Avenue" NA "IL" -87.5353925 41.7032935
"199" "Walker Branch" "Chicago" "11071 S. Hoyne Avenue" NA "IL" -87.6740836 41.692067
"200" "Water Works Branch" "Chicago" "163 E. Pearson Street" 60611 "IL" -87.623476 41.8972063
"201" "West Addison Branch" "Chicago" "7536 W. Addison Street" NA "IL" -87.8158623 41.945204
"202" "West Belmont Branch" "Chicago" "3104 N. Narragansett Avenue" NA "IL" -87.7861631 41.9367293
"203" "West Chicago Avenue Branch" "Chicago" "4856 W. Chicago Ave." NA "IL" -87.747991 41.8953106
"204" "West Englewood Branch" "Chicago" "1745 W. 63rd Street" NA "IL" -87.6684425 41.7790764
"205" "West Lawn Branch" "Chicago" "4020 W. 63rd Street" NA "IL" -94.633545 39.0153279
"206" "West Pullman Branch" "Chicago" "830 W. 119th Street" NA "IL" -87.6431281 41.6780355
"207" "West Town Branch" "Chicago" "1625 W. Chicago Avenue" 60622 "IL" -87.6683964 41.8957988
"208" "Whitney M. Young, Jr. Branch" "Chicago" "7901 S. King Drive" NA "IL" -87.6144938 41.7509123
"209" "Woodson Regional Library" "Chicago" "9525 S. Halsted Street" NA "IL" -87.6358195 41.5301722
"210" "Wrightwood-Ashburn Branch" "Chicago" "8530 S. Kedzie Avenue" NA "IL" -87.7024963 41.7376441
"211" "Chicago Heights Public Library" "Chicago Heights" "25 West Fifteenth Street" 60411 "IL" -87.6416416 41.5045559
"212" "Chicago Ridge Public Library" "Chicago Ridge" "10400 South Oxford Avenue" 60415 "IL" -87.7778693 41.7030652
"213" "Chillicothe Public Library District" "Chillicothe" "430 North Bradley Avenue" 61523 "IL" -89.4998256 40.9144226
"214" "Chrisman Public Library" "Chrisman" "108 North Illinois Street" 61924 "IL" -87.6790692 39.8034851
"215" "Christopher Public Library" "Christopher" "202 East Market Street" 62822 "IL" -89.0524156 37.9725821
"216" "Cicero Public Library" "Cicero" "5225 West Cermak Road" 60804 "IL" -87.7737406 41.8507944
"217" "Cicero Public Library South Branch" "Cicero" "5444 W. 34th Street" NA "IL" -95.4707262 29.8194775
"218" "Willow Branch Township Library" "Cisco" "330 North Eldon Street" 61830 "IL" -88.7271926 40.0090006
"219" "Cissna Park Community Library District" "Cissna Park" "511 North Second Street" 60924 "IL" -87.8918753 40.5706053
"220" "Clarendon Hills Public Library" "Clarendon Hills" "7 North Prospect Avenue" 60514 "IL" -87.954478 41.798179
"221" "Clayton Public Library District" "Clayton" "211 East Main Street" 62324 "IL" -90.956034 40.030792
"222" "Central Citizens Library District" "Clifton" "1134 East 3100 North Road" 60927 "IL" -87.919378 40.958641
"223" "Clifton Public Library" "Clifton" "150 East Fourth Avenue" 60927 "IL" -87.9332261 40.9336868
"224" "Vespasian Warner Public Library District" "Clinton" "310 North Quincy Street" 61727 "IL" -88.9622911 40.1544011
"225" "Coal City Public Library District" "Coal City" "85 North Garfield Street" 60416 "IL" -88.2813228 41.2888773
"226" "Robert R. Jones Public Library District" "Coal Valley" "900 First Street" 61240 "IL" -90.461618 41.442948
"227" "Cobden Branch Library" "Cobden" "100 S. Front St." NA "IL" -87.3928887 46.5431804
"228" "Colchester District Library" "Colchester" "203 Macomb Street" 62326 "IL" -90.7920495 40.4262289
"229" "Martin Township Public Library" "Colfax" "132 West Main Street" 61728 "IL" -88.6166969 40.5669665
"230" "Collinsville Memorial Public Library" "Collinsville" "408 West Main St." NA "IL" -79.4315383 42.392072
"231" "Mississippi Valley Public Library District" "Collinsville" "408 West Main Street" 62234 "IL" -89.9903483 38.6681933
"232" "Colona District Public Library" "Colona" "911 First Street" 61241 "IL" -90.3580961 41.4699195
"233" "Columbia Public Library" "Columbia" "106 North Metter Avenue" 62236 "IL" -90.1990239 38.4441696
"234" "Cordova District Library" "Cordova" "402 Main Avenue" 61242 "IL" -90.3253696 41.6800514
"235" "Amity Township Public Library" "Cornell" "604 East Main Street" 61319 "IL" -88.7291846 40.9896631
"236" "Cortland Community Library" "Cortland" "63 South Somonauk Road" 60112 "IL" -88.6890632 41.9205056
"237" "Coulterville Public Library" "Coulterville" "103 South Fourth Street" 62237 "IL" -89.6038026 38.1862804
"238" "Dry Point Township Library" "Cowden" "po box 275" 62422 "IL" -88.8838834 39.2530024
"239" "Crest Hill Branch Library" "Crest Hill" "1298 Theodore Street" NA "IL" -88.113473 41.55234
"240" "Creston-Dement Public Library District" "Creston" "107 South Main Street" 60113 "IL" -88.9648163 41.9318602
"241" "Crestwood Public Library District" "Crestwood" "4955 West 135th Street" 60445 "IL" -87.7442151 41.6466187
"242" "Crete Public Library District" "Crete" "1177 North Main Street" 60417 "IL" -87.6309124 41.4501705
"243" "Creve Coeur Public Library District" "Creve Coeur" "311 North Highland Street" 61610 "IL" -89.5984891 40.6491657
"244" "Crystal Lake Public Library" "Crystal Lake" "126 Paddock Street" 60014 "IL" -88.3251248 42.2395586
"245" "Spoon River Library District" "Cuba" "201 South Third Street" 61427 "IL" -90.1957752 40.4921888
"246" "Dahlgren Public Library" "Dahlgren" "po box 237" 62828 "IL" -88.5855173 38.2131618
"247" "Danvers Township Library" "Danvers" "105 South West Street" 61732 "IL" -89.177063 40.529165
"248" "Danville Public Library" "Danville" "319 North Vermilion Street" 61832 "IL" -87.6289759 40.1298684
"249" "Indian Prairie Public Library District" "Darien" "401 Plainfield Road" 60561 "IL" -87.9556665 41.7563765
"250" "Decatur Public Library" "Decatur" "130 North Franklin Street" 62523 "IL" -88.9523179 39.8420442
"251" "Deer Creek District Library" "Deer Creek" "205 East First Avenue" 61733 "IL" -89.3301116 40.6276232
"252" "Deerfield Public Library" "Deerfield" "920 Waukegan Road" 60015 "IL" -87.8469651 42.1694443
"253" "Dekalb Public Library" "Dekalb" "309 Oak Street" 60115 "IL" -88.7497399 41.9320732
"254" "Goose Creek Township Carnegie Library" "Deland" "130 North Highway Avenue" 61839 "IL" -88.6464562 40.125314
"255" "Ayer Public Library District" "Delavan" "208 Locust Street" 61734 "IL" -89.5471724 40.3741294
"256" "Selby Township Library District" "Depue" "101 Depot Street" 61322 "IL" -89.3062383 41.3246429
"257" "Des Plaines Public Library" "Des Plaines" "1501 Ellinwood Street" 60016 "IL" -87.8865953 42.0404512
"258" "Divernon Township Library" "Divernon" "221 South Second Street" 62530 "IL" -89.6587029 39.5652315
"259" "Divernon Township Library" "Divernon" "221 South Second" NA "IL" -94.7280155 31.3369454
"260" "Dixon Public Library" "Dixon" "221 South Hennepin Avenue" 61021 "IL" -89.4836038 41.841621
"261" "Dolton Public Library District" "Dolton" "14037 Lincoln Avenue" 60419 "IL" -87.6084864 41.6401707
"262" "Dongola Public Library District" "Dongola" "114 North East Front Street" 62926 "IL" -89.1650364 37.3616274
"263" "Downers Grove Public Library" "Downers Grove" "1050 Curtiss Street" 60515 "IL" -88.011452 41.7941142
"264" "Du Quoin Public Library" "Du Quoin" "28 South Washington St." NA "IL" -89.2360176 38.0103768
"265" "Dunlap Public Library District" "Dunlap" "302 South First Street" 61525 "IL" -89.6730029 40.8573702
"266" "Daugherty Public Library District" "Dupo" "220 South Fifth Street" 62239 "IL" -90.206967 38.5156911
