"BaseName","D_IDW","D_IDW_N","D_Overall Rank"
"MacDill AFB",22819541.611,1,1
"Patrick AFB",17499508.823,0.764,2
"Bolling AFB",17137085.719,0.748,3
"Andrews AFB",13645267.511,0.592,4
"McChord AFB",10481073.562,0.452,5
"Charleston AFB",10295271.547,0.444,6
"Air Force Academy",8380488.604,0.359,7
"Peterson AFB",7882720.585,0.336,8
"Tinker AFB",7878969.339,0.336,9
"Davis-Monthan AFB",7287296.209,0.31,10
"Travis AFB",6590709.294,0.279,11
"Hill AFB",6340372.375,0.268,12
"Barksdale AFB",6011373.586,0.253,13
"Pope AFB",5704680.13,0.24,14
"Wright-Patterson AFB",5392141.833,0.226,15
"Maxwell AFB",5252925.11,0.22,16
"Little Rock AFB",5196280.106,0.217,17
"Schriever AFB",4764077.052,0.198,18
"FE Warren AFB",4639398.129,0.192,19
"Nellis AFB",4446867.101,0.184,20
"Los Angeles AFB",4371546.336,0.18,21
"Gunter AFB",4211683.275,0.173,22
"Buckley AFB",3786656.68,0.154,23
"Lackland AFB",3682735.095,0.15,24
"Robins AFB",3646816.904,0.148,25
"Kirtland AFB",3576686.296,0.145,26
"Brooks City-Base",3526126.117,0.143,27
"Goodfellow AFB",3290303.195,0.132,28
"Moody AFB",3238618.137,0.13,29
"Shaw AFB",2920069.219,0.116,30
"Seymour Johnson AFB",2796558,0.111,31
"Beale AFB",2788181.453,0.11,32
"Luke AFB",2708560.119,0.107,33
"Tyndall AFB",2707917.319,0.107,34
"Creech AFB",2651030.433,0.104,35
"Keesler AFB",2609884.975,0.102,36
"Dyess AFB",2475817.635,0.096,37
"Fairchild AFB",2447163.173,0.095,38
"Langley AFB",2151358.922,0.082,39
"Hanscom AFB",2032187.856,0.077,40
"McGuire AFB",1983257.814,0.074,41
"McConnell AFB",1751036.175,0.064,42
"Offutt AFB",1709367.098,0.062,43
"Malmstrom AFB",1548131.931,0.055,44
"Otis AFB",1547515.017,0.055,45
"Sheppard AFB",1546916.802,0.055,46
"Vandenberg AFB",1531590.682,0.054,47
"Cannon AFB",1483476.744,0.052,48
"Whiteman AFB",1473887.285,0.052,49
"Dover AFB",1289851.801,0.044,50
"Minot AFB",1116275.392,0.036,51
"Scott AFB",1128646.383,0.036,52
"Edwards AFB",1049067.347,0.033,53
"Holloman AFB",1023861.725,0.032,54
"Hurlburt Field",1025853.276,0.032,55
"Ellsworth AFB",1005587.215,0.031,56
"Altus AFB",925335.663,0.027,57
"Columbus AFB",902282.84,0.026,58
"Grand Forks AFB",886041.479,0.026,59
"Vance AFB",754227.62,0.02,60
"Laughlin AFB",709213.211,0.018,61
"Arnold AFB",686448.204,0.017,62
"Randolph AFB",563356.643,0.011,63
"Mountain Home AFB",346818.168,0.002,64
"Eglin AFB",308818.58,0,65
