"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"CO" "CO0001" "FSCS0001" "RANGEVIEW LIBRARY DISTRICT" 21 359495 "5877 EAST 120TH AVENUE
THORNTON, CO 80602
(39.914076, -104.919411)" "5877 EAST 120TH AVENUE
THORNTON, CO 80602
" 39.914076 -104.919411 355322 0 7 1 24 35 77.5 112.5 13190581 76036 7076 482586 13756279 4422220 1322131 5744351 1149377 302155 467192 1918724 6277227 13940302 0 0 0 0 0 52901 303465 19642 34578 12133 53424 0 36 0 36 816 17734 1261398 26872 120829 2267091 970034 217943 2936 7885 2505 1464 682 57020 39689 11857 312 295710 195951 2015 "2014-01-01" "2014-12-31" 1 7 0 0 0 "ME" "5877 EAST 120TH AVENUE" "THORNTON" 80602 3032882001 "ADAMS" 480718 "LD" "MO" "Y" "N" 5113719 2.25 41140.9125 5154859.9125 76.201615468393 0.000172215264534397 887.745563468948 91.1684292939963 0.000120312584125764 620.194516879186
"CO" "CO0005" "FSCS0005" "ARAPAHOE LIBRARY DISTRICT" 21 253896 "12855 E. ADAM AIRCRAFT CIRCLE
ENGLEWOOD, CO 80112
(39.577378, -104.839443)" "12855 E. ADAM AIRCRAFT CIRCLE
ENGLEWOOD, CO 80112
" 39.577378 -104.839443 250949 0 8 2 20 39 194.68 233.68 22174048 47052 5169 1227663 23453932 10343470 2796533 13140003 1202807 1058762 745266 3006835 6986464 23133302 0 0 0 0 0 4090693 424638 57066 52654 24185 74932 42 57 0 57 1963 25561 1993094 369309 277916 4508477 1386838 867847 74678 89499 5636 3682 231 120667 90531 3403 235 306060 110616 2015 "2014-01-01" "2014-12-31" 1 7 0 0 0 "ME" "12855 E. ADAM AIRCRAFT CIRCLE" "ENGLEWOOD" 80112 3035427279 "ARAPAHOE" 618821 "LD" "MA" "Y" "N" 7215006 2.25 52189.98 7267195.98 52.536639574603 0.000362305910749223 2632.94805812699 62.7437334559509 0.000254014954787589 1845.97645829225
"CO" "CO0007" "FSCS0007" "AURORA PUBLIC LIBRARY" 11 344637 "14949 E ALAMEDA PARKWAY
AURORA, CO 80012
(39.709076, -104.81416)" "14949 E ALAMEDA PARKWAY
AURORA, CO 80012
" 39.709076 -104.81416 340636 1 3 0 12 12 49.6 61.6 4234947 71336 0 72688 4378971 2618870 768754 3387624 286253 213987 77750 577990 628132 4593746 0 0 0 0 0 0 209135 6938 17173 944 11608 0 29 0 29 156 10458 1044771 161419 199291 1065076 632830 93212 2151 1516 1906 1466 183 72576 46924 4675 252 461379 -1 2015 "2014-01-01" "2014-12-31" 1 7 0 0 0 "ME" "14949 E. ALAMEDA PARKWAY" "AURORA" 80012 3037396640 "ARAPAHOE" 618821 "CI" "MO" "Y" "N" 3106276 2.25 32502.9975 3138778.9975 61.4162872655034 0.000265114134155488 832.134676227644 72.8211564989375 0.000188575321286732 591.896257901609
"CO" "CO0012" "FSCS0012" "BOULDER PUBLIC LIBRARY" 13 102760 "1001 ARAPAHOE AVENUE
BOULDER, CO 80302
(40.013593, -105.281293)" "1001 ARAPAHOE AVENUE
BOULDER, CO 80302
" 40.013593 -105.281293 101567 1 4 0 19.75 30.75 46.13 76.88 7429690 21892 0 199313 7650895 3843186 1187187 5030373 456184 251562 152434 860180 2979707 8870260 2099410 0 0 0 2099410 1971910 226712 142934 18722 4759 19530 133 58 0 58 407 13128 879429 97269 130908 1305884 497279 61490 281 1147 2627 840 499 58580 29850 4642 60 137347 -1 2015 "2014-01-01" "2014-12-31" 1 7 0 0 0 "ME" "PO DRAWER H" "BOULDER" 80306 3034413100 "BOULDER" 313333 "CI" "MO" "Y" "N" 3452523 2.25 18468.3 3470991.3 87.8556605604643 0.000129556886682417 449.690826529755 102.343817962643 9.54721650254808e-05 331.383054195608
"CO" "CO0013" "FSCS0013" "BROOMFIELD/EISENHOWER PUBLIC LIBRARY" 13 59450 "3 COMMUNITY PARK ROAD
BROOMFIELD, CO 80020
(39.917283, -105.06854)" "3 COMMUNITY PARK ROAD
BROOMFIELD, CO 80020
" 39.917283 -105.06854 58760 1 0 0 10.6 10.6 18.2399999999999 28.84 2213751 13091 0 102373 2329215 1418485 294277 1712762 163806 90323 56252 310381 205079 2228222 0 0 0 0 0 0 139238 49403 10096 6137 11061 164 65 0 65 226 3408 329728 40881 48707 759317 363409 29307 43975 40228 1031 481 157 28744 20263 3303 37 40774 -1 2015 "2014-01-01" "2014-12-31" 1 7 0 0 0 "ME" "3 COMMUNITY PARK ROAD" "BROOMFIELD" 80020 7208872300 "BROOMFIELD" 62138 "CI" "SO" "Y" "N" 2089738 2.25 8338.875 2098076.875 78.0459830915245 0.000164171924421076 344.445318152107 90.3910920004474 0.000122390788820855 256.785283738043
"CO" "CO0015" "FSCS0015" "NORTHERN CHAFFEE COUNTY LIBRARY DISTRICT (BUENA VISTA)" 33 9000 "131 LINDERMAN AVENUE
BUENA VISTA, CO 81211
(38.841104, -106.133358)" "131 LINDERMAN AVENUE
BUENA VISTA, CO 81211
" 38.841104 -106.133358 8896 1 0 0 0 1 3.5 4.5 416368 3000 250 17478 437096 184317 31456 215773 19506 9724 10775 40005 247691 503469 0 0 0 0 0 0 24565 13520 2363 6560 3171 2640 15 0 15 100 2688 141325 17945 8795 157920 34742 6420 529 1811 56 54 0 1772 1522 0 12 51250 5550 2015 "2014-01-01" "2014-12-31" 1 7 0 0 0 "ME" "PO BOX 2019" "BUENA VISTA" 81211 7193958700 "CHAFFEE" 18363 "LD" "SO" "Y" "N" 393127 7 2565 395692 77.2634659736005 0.000167514199896045 66.2840287852659 102.599823530143 9.49963179522574e-05 37.5892830431646
"CO" "CO0026" "FSCS0026" "WEST CUSTER COUNTY LIBRARY DISTRICT" 43 3943 "209 MAIN STREET
WESTCLIFFE, CO 81252
(38.136067, -105.468499)" "209 MAIN STREET
WESTCLIFFE, CO 81252
