"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"NM" "NM0002" "NM0002-002" "ALBUQUERQUE/BERNALILLO COUNTY LIBRARY SYSTEM" 11 662564 "501 COPPER AVE. NW
ALBUQUERQUE, NM 87102
(35.085731, -106.652923)" "501 COPPER AVE. NW
ALBUQUERQUE, NM 87102
" 35.085731 -106.652923 652925 1 16 1 40 40 92.5 132.5 12351855 639779 49296 193426 13234356 4576513 2108446 6684959 1220623 648917 497349 2366889 3799283 12851131 3537500 2646443 0 250000 6433943 5306981 945040 56037 52301 16231 106881 1152 50 45 95 1389 38036 2180073 493212 316738 3996001 1176554 335520 3330 3634 4904 2731 517 95846 74422 4309 292 854387 -1 2015 "2013-07-01" "2014-06-30" 1 6 0 0 0 "NO" "501 COPPER AVE. NW" "ALBUQUERQUE" 87102 5057685100 "BERNALILLO" 675551 "CC" "MO" "Y" "N" 14386083 2.25 64598.07 14450681.07 9.47470100747916 0.0111395839891419 160974.575479568 15.4181217144917 0.00420665659550964 60789.0528327218
"NM" "NM0005" "NM0005-002" "BELEN PUBLIC LIBRARY" 23 23093 "333 BECKER AVENUE
BELEN, NM 87002
(34.659932, -106.771047)" "333 BECKER AVENUE
BELEN, NM 87002
" 34.659932 -106.771047 22757 1 1 0 1 3 3 6 327159 27275 0 4762 359196 154667 70088 224755 30547 2555 5949 39051 93878 357684 5119 0 0 0 5119 5119 47583 0 893 0 5075 0 4 45 49 33 2770 71635 8600 13571 53204 15598 0 0 144 323 67 78 6857 1548 697 36 22505 -1 2015 "2013-07-01" "2014-06-30" 1 6 0 0 0 "NO" "333 BECKER AVENUE" "BELEN" 87002 5058647522 "VALENCIA" 75817 "CI" "MA" "Y" "N" 698212 4.5 4017.555 702229.555 28.5214305236612 0.00122929861272012 863.249817772567 42.4472143860216 0.000555011025255861 389.745145285517
"NM" "NM0006" "NM0006-002" "TOWN OF BERNALILLO PUBLIC LIBRARY" 21 8320 "124 CALLE MALINCHE
BERNALILLO, NM 87004
(35.304109, -106.549866)" "124 CALLE MALINCHE
BERNALILLO, NM 87004
" 35.304109 -106.549866 8199 1 0 0 1 1 1 2 140137 19575 0 35000 194712 NA NA NA 28156 3929 7817 39902 NA 142527 0 0 0 0 0 0 16880 3459 266 0 1005 0 1 45 46 0 2325 16242 670 4498 14958 5106 597 0 31 58 47 5 1205 1138 16 10 9112 -1 2015 "2013-07-01" "2014-06-30" 1 6 0 0 0 "NO" "PO BOX 638" "BERNALILLO" 87004 5058671440 "SANDOVAL" 137608 "CI" "SO" "Y" "N" 236413 7 2047.2 238460.2 20.2659556255655 0.00243481419613582 580.606280173387 27.8729168479004 0.00128716778453975 306.938287334906
"NM" "NM0017" "NM0017-002" "MOTHER WHITESIDE MEMORIAL LIBRARY" 33 9182 "525 W. HIGH ST
GRANTS, NM 87020
